source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
tbl_pay_comp_hist,inventory_weekly,0.779,tbl_pay_comp_hist.cmp_evt_id,inventory_weekly.hq_ln_abbr_cd,0.6791
tbl_pay_comp_hist,inventory_weekly,0.779,tbl_pay_comp_hist.emp_bnf_ref,inventory_weekly.hq_ln_abbr_cd,0.75
tbl_pay_comp_hist,inventory_weekly,0.779,tbl_pay_comp_hist.amt_val_num,inventory_weekly.revenue,0.9731
tbl_pay_comp_hist,inventory_weekly,0.779,tbl_pay_comp_hist.curr_iso_cd,inventory_weekly.curr_ownshp_typ_cd,0.75
tbl_pay_comp_hist,inventory_weekly,0.779,tbl_pay_comp_hist.dt_eff_from,inventory_weekly.lvl_3_hrchy_desc,0.7427
tbl_dept_master,inventory_weekly,0.7365,tbl_dept_master.dept_pk_id,inventory_weekly.hq_ln_abbr_cd,0.75
tbl_dept_master,inventory_weekly,0.7365,tbl_dept_master.dept_nm_txt,inventory_weekly.curr_dc_nm,0.7195
tbl_dept_master,inventory_weekly,0.7365,tbl_dept_master.loc_ref_cd,inventory_weekly.hq_ln_abbr_cd,0.7401
tbl_emp_core_dtls,inventory_weekly,0.7263,tbl_emp_core_dtls.emp_unq_ref,inventory_weekly.hq_ln_abbr_cd,0.75
tbl_emp_core_dtls,inventory_weekly,0.7263,tbl_emp_core_dtls.emp_fn_nm,inventory_weekly.lvl_1_hrchy_desc,0.7315
tbl_emp_core_dtls,inventory_weekly,0.7263,tbl_emp_core_dtls.emp_ln_nm,inventory_weekly.lvl_1_hrchy_desc,0.7218
tbl_emp_core_dtls,inventory_weekly,0.7263,tbl_emp_core_dtls.wrk_email_addr,inventory_weekly.curr_ownshp_typ_cd,0.6643
tbl_emp_core_dtls,inventory_weekly,0.7263,tbl_emp_core_dtls.dt_hire_eff,inventory_weekly.lvl_1_hrchy_desc,0.7404
tbl_emp_core_dtls,inventory_weekly,0.7263,tbl_emp_core_dtls.dept_fk_ref,inventory_weekly.hq_ln_abbr_cd,0.75
tbl_emp_prj_xref,inventory_weekly,0.7172,tbl_emp_prj_xref.emp_prj_map_id,inventory_weekly.hq_ln_abbr_cd,0.6905
tbl_emp_prj_xref,inventory_weekly,0.7172,tbl_emp_prj_xref.emp_ref_key,inventory_weekly.hq_ln_abbr_cd,0.7241
tbl_emp_prj_xref,inventory_weekly,0.7172,tbl_emp_prj_xref.prj_ref_key,inventory_weekly.hq_ln_abbr_cd,0.7041
tbl_emp_prj_xref,inventory_weekly,0.7172,tbl_emp_prj_xref.asg_role_cd,inventory_weekly.curr_ownshp_typ_cd,0.75
tbl_prj_portfolio,inventory_weekly,0.6356,tbl_prj_portfolio.prj_sys_gen_id,inventory_weekly.hq_ln_abbr_cd,0.7165
tbl_prj_portfolio,inventory_weekly,0.6356,tbl_prj_portfolio.prj_lbl_nm,inventory_weekly.fld_ln_abbr_cd,0.4
tbl_prj_portfolio,inventory_weekly,0.6356,tbl_prj_portfolio.dt_prj_start,inventory_weekly.lvl_2_hrchy_desc,0.7095
tbl_prj_portfolio,inventory_weekly,0.6356,tbl_prj_portfolio.dt_prj_end,inventory_weekly.lvl_2_hrchy_desc,0.7164
