db_type,host,port,database,schema_name,table_count,column_count,relationship_count,table_name,table_description,table_row_count,column_name,data_type,kind,column_description,row_count,not_null_count,null_count,null_percent,distinct_count,distinct_percent,duplicate_count,entropy,top_values,sample_values,numeric_stats,text_stats,date_stats,boolean_stats
postgres,localhost,5432,GPC,public,1,26,1,inventory_weekly,"The inventory_weekly table represents a weekly snapshot of inventory data across various stores. It stores records of product sales, revenue, and stock levels, which are crucial for analytics and business decision-making. This table is typically used to analyze sales trends, identify opportunities, and optimize inventory management.",240,week_datetime,date,datetime,"The week_datetime column represents the date and time of the weekly inventory snapshot. It stores values of type date, indicating the specific week for which the data is recorded. This column matters as it allows for temporal analysis of sales and inventory trends over time.",240,240,0,0.0,4,1.6667,236,1.998291,"[{""value"": ""2024-09-15"", ""count"": 60}, {""value"": ""2024-09-01"", ""count"": 60}, {""value"": ""2024-09-08"", ""count"": 60}, {""value"": ""2024-09-22"", ""count"": 60}]","[""2024-09-01"", ""2024-09-01"", ""2024-09-01"", ""2024-09-01"", ""2024-09-01"", ""2024-09-01"", ""2024-09-08"", ""2024-09-08"", ""2024-09-08"", ""2024-09-08"", ""2024-09-08"", ""2024-09-08"", ""2024-09-15"", ""2024-09-15"", ""2024-09-15"", ""2024-09-15"", ""2024-09-15"", ""2024-09-15"", ""2024-09-22"", ""2024-09-22""]",{},{},"{""min_date"": ""2024-09-01"", ""max_date"": ""2024-09-22"", ""range_days"": 21, ""weekday_distribution"": {""Sunday"": 240}, ""most_common_weekday"": ""Sunday"", ""month_distribution"": {""9"": 240}, ""most_common_month"": 9, ""weekend_count"": 240}",{}
postgres,localhost,5432,GPC,public,1,26,1,inventory_weekly,"The inventory_weekly table represents a weekly snapshot of inventory data across various stores. It stores records of product sales, revenue, and stock levels, which are crucial for analytics and business decision-making. This table is typically used to analyze sales trends, identify opportunities, and optimize inventory management.",240,store_id,text,text,"The store_id column represents the unique identifier for each store. It stores values of type text, indicating the specific store for which the inventory data is recorded. This column matters as it enables the analysis of sales and inventory performance across different stores.",240,240,0,0.0,10,4.1667,230,3.122292,"[{""value"": ""STORE_9"", ""count"": 24}, {""value"": ""STORE_5"", ""count"": 24}, {""value"": ""STORE_8"", ""count"": 24}, {""value"": ""STORE_2"", ""count"": 24}, {""value"": ""STORE_7"", ""count"": 24}]","[""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1"", ""STORE_1""]",{},"{""min_length"": 7, ""max_length"": 8, ""avg_length"": 7.1, ""empty_string_count"": 0, ""digit_only_count"": 0, ""alpha_only_count"": 0, ""alnum_only_count"": 0, ""email_like_count"": 0}",{},{}
postgres,localhost,5432,GPC,public,1,26,1,inventory_weekly,"The inventory_weekly table represents a weekly snapshot of inventory data across various stores. It stores records of product sales, revenue, and stock levels, which are crucial for analytics and business decision-making. This table is typically used to analyze sales trends, identify opportunities, and optimize inventory management.",240,product,text,text,"The product column represents the name or description of the product being sold. It stores values of type text, indicating the specific product for which the inventory data is recorded. This column matters as it allows for the analysis of sales and inventory trends for specific products.",240,240,0,0.0,6,2.5,234,2.584819,"[{""value"": ""SKU_2"", ""count"": 40}, {""value"": ""SKU_6"", ""count"": 40}, {""value"": ""SKU_1"", ""count"": 40}, {""value"": ""SKU_5"", ""count"": 40}, {""value"": ""SKU_3"", ""count"": 40}]","[""SKU_1"", ""SKU_2"", ""SKU_3"", ""SKU_4"", ""SKU_5"", ""SKU_6"", ""SKU_1"", ""SKU_2"", ""SKU_3"", ""SKU_4"", ""SKU_5"", ""SKU_6"", ""SKU_1"", ""SKU_2"", ""SKU_3"", ""SKU_4"", ""SKU_5"", ""SKU_6"", ""SKU_1"", ""SKU_2""]",{},"{""min_length"": 5, ""max_length"": 5, ""avg_length"": 5.0, ""empty_string_count"": 0, ""digit_only_count"": 0, ""alpha_only_count"": 0, ""alnum_only_count"": 0, ""email_like_count"": 0}",{},{}
postgres,localhost,5432,GPC,public,1,26,1,inventory_weekly,"The inventory_weekly table represents a weekly snapshot of inventory data across various stores. It stores records of product sales, revenue, and stock levels, which are crucial for analytics and business decision-making. This table is typically used to analyze sales trends, identify opportunities, and optimize inventory management.",240,revenue,numeric,numeric,"The revenue column represents the total revenue generated by the sale of a product during the weekly inventory snapshot. It stores values of type numeric, indicating the monetary value of sales. This column matters as it is a key metric for business performance and decision-making.",240,240,0,0.0,2,0.8333,238,0.924819,"[{""value"": ""199.90"", ""count"": 160}, {""value"": ""999.50"", ""count"": 80}]","[""999.50"", ""999.50"", ""199.90"", ""199.90"", ""199.90"", ""199.90"", ""999.50"", ""999.50"", ""199.90"", ""199.90"", ""199.90"", ""199.90"", ""999.50"", ""999.50"", ""199.90"", ""199.90"", ""199.90"", ""199.90"", ""999.50"", ""999.50""]","{""min"": ""199.90"", ""max"": ""999.50"", ""avg"": 466.43333333333334, ""sum"": 111944.0, ""stddev"": 376.935054824509, ""p25"": 199.9, ""median"": 199.9, ""p75"": 999.5, ""iqr"": 799.6, ""range"": 799.6, ""zero_count"": 0, ""negative_count"": 0}",{},{},{}
postgres,localhost,5432,GPC,public,1,26,1,inventory_weekly,"The inventory_weekly table represents a weekly snapshot of inventory data across various stores. It stores records of product sales, revenue, and stock levels, which are crucial for analytics and business decision-making. This table is typically used to analyze sales trends, identify opportunities, and optimize inventory management.",240,units,integer,numeric,"The units column represents the total number of units sold of a product during the weekly inventory snapshot. It stores values of type integer, indicating the quantity of sales. This column matters as it provides insights into sales volume and inventory levels.",240,240,0,0.0,2,0.8333,238,0.924819,"[{""value"": 10, ""count"": 160}, {""value"": 50, ""count"": 80}]","[50, 50, 10, 10, 10, 10, 50, 50, 10, 10, 10, 10, 50, 50, 10, 10, 10, 10, 50, 50]","{""min"": 10, ""max"": 50, ""avg"": 23.333333333333332, ""sum"": 5600.0, ""stddev"": 18.856180831641268, ""p25"": 10.0, ""median"": 10.0, ""p75"": 50.0, ""iqr"": 40.0, ""range"": 40.0, ""zero_count"": 0, ""negative_count"": 0}",{},{},{}
postgres,localhost,5432,GPC,public,1,26,1,inventory_weekly,"The inventory_weekly table represents a weekly snapshot of inventory data across various stores. It stores records of product sales, revenue, and stock levels, which are crucial for analytics and business decision-making. This table is typically used to analyze sales trends, identify opportunities, and optimize inventory management.",240,min_stk_lvl_qty,integer,numeric,"The min_stk_lvl_qty column represents the minimum stock level quantity for a product. It stores values of type integer, indicating the minimum inventory level required. This column matters as it helps in optimizing inventory management and preventing stockouts.",240,240,0,0.0,2,0.8333,238,0.999928,"[{""value"": 0, ""count"": 120}, {""value"": 10, ""count"": 120}]","[10, 10, 10, 0, 0, 0, 10, 10, 10, 0, 0, 0, 10, 10, 10, 0, 0, 0, 10, 10]","{""min"": 0, ""max"": 10, ""avg"": 5.0, ""sum"": 1200.0, ""stddev"": 5.0, ""p25"": 0.0, ""median"": 5.0, ""p75"": 10.0, ""iqr"": 10.0, ""range"": 10.0, ""zero_count"": 120, ""negative_count"": 0}",{},{},{}
postgres,localhost,5432,GPC,public,1,26,1,inventory_weekly,"The inventory_weekly table represents a weekly snapshot of inventory data across various stores. It stores records of product sales, revenue, and stock levels, which are crucial for analytics and business decision-making. This table is typically used to analyze sales trends, identify opportunities, and optimize inventory management.",240,max_stk_lvl_qty,integer,numeric,"The max_stk_lvl_qty column represents the maximum stock level quantity for a product. It stores values of type integer, indicating the maximum inventory level allowed. This column matters as it helps in optimizing inventory management and preventing overstocking.",240,240,0,0.0,2,0.8333,238,0.999928,"[{""value"": 0, ""count"": 120}, {""value"": 50, ""count"": 120}]","[50, 50, 50, 0, 0, 0, 50, 50, 50, 0, 0, 0, 50, 50, 50, 0, 0, 0, 50, 50]","{""min"": 0, ""max"": 50, ""avg"": 25.0, ""sum"": 6000.0, ""stddev"": 25.0, ""p25"": 0.0, ""median"": 25.0, ""p75"": 50.0, ""iqr"": 50.0, ""range"": 50.0, ""zero_count"": 120, ""negative_count"": 0}",{},{},{}
postgres,localhost,5432,GPC,public,1,26,1,inventory_weekly,"The inventory_weekly table represents a weekly snapshot of inventory data across various stores. It stores records of product sales, revenue, and stock levels, which are crucial for analytics and business decision-making. This table is typically used to analyze sales trends, identify opportunities, and optimize inventory management.",240,on_hnd_qty,integer,numeric,"The on_hnd_qty column represents the current on-hand quantity of a product. It stores values of type integer, indicating the current inventory level. This column matters as it provides real-time insights into inventory levels and stock availability.",240,240,0,0.0,5,2.0833,235,2.254819,"[{""value"": 0, ""count"": 80}, {""value"": 5, ""count"": 40}, {""value"": 20, ""count"": 40}, {""value"": 15, ""count"": 40}, {""value"": 10, ""count"": 40}]","[20, 10, 0, 15, 5, 0, 20, 10, 0, 15, 5, 0, 20, 10, 0, 15, 5, 0, 20, 10]","{""min"": 0, ""max"": 20, ""avg"": 8.333333333333334, ""sum"": 2000.0, ""stddev"": 7.453559924999299, ""p25"": 0.0, ""median"": 7.5, ""p75"": 15.0, ""iqr"": 15.0, ""range"": 20.0, ""zero_count"": 80, ""negative_count"": 0}",{},{},{}
postgres,localhost,5432,GPC,public,1,26,1,inventory_weekly,"The inventory_weekly table represents a weekly snapshot of inventory data across various stores. It stores records of product sales, revenue, and stock levels, which are crucial for analytics and business decision-making. This table is typically used to analyze sales trends, identify opportunities, and optimize inventory management.",240,oos_impressions,integer,numeric,"The oos_impressions column represents the number of out-of-stock impressions for a product. It stores values of type integer, indicating the frequency of out-of-stock situations. This column matters as it helps in identifying inventory management issues and optimizing stock levels.",240,240,0,0.0,2,0.8333,238,1.0,"[{""value"": 0, ""count"": 120}, {""value"": 300, ""count"": 120}]","[0, 300, 300, 0, 300, 0, 0, 300, 300, 0, 300, 0, 0, 300, 300, 0, 300, 0, 0, 300]","{""min"": 0, ""max"": 300, ""avg"": 150.0, ""sum"": 36000.0, ""stddev"": 150.0, ""p25"": 0.0, ""median"": 150.0, ""p75"": 300.0, ""iqr"": 300.0, ""range"": 300.0, ""zero_count"": 120, ""negative_count"": 0}",{},{},{}
postgres,localhost,5432,GPC,public,1,26,1,inventory_weekly,"The inventory_weekly table represents a weekly snapshot of inventory data across various stores. It stores records of product sales, revenue, and stock levels, which are crucial for analytics and business decision-making. This table is typically used to analyze sales trends, identify opportunities, and optimize inventory management.",240,non_oos_impressions,integer,numeric,"The non_oos_impressions column represents the number of non-out-of-stock impressions for a product. It stores values of type integer, indicating the frequency of in-stock situations. This column matters as it provides insights into inventory management effectiveness and stock availability.",240,240,0,0.0,2,0.8333,238,0.924819,"[{""value"": 100, ""count"": 160}, {""value"": 500, ""count"": 80}]","[500, 500, 100, 100, 100, 100, 500, 500, 100, 100, 100, 100, 500, 500, 100, 100, 100, 100, 500, 500]","{""min"": 100, ""max"": 500, ""avg"": 233.33333333333334, ""sum"": 56000.0, ""stddev"": 188.561808316413, ""p25"": 100.0, ""median"": 100.0, ""p75"": 500.0, ""iqr"": 400.0, ""range"": 400.0, ""zero_count"": 0, ""negative_count"": 0}",{},{},{}
